"stdliv_next5","stdliv_next5_di","stdliv_past5","stdliv_past5_di","cat_age","wave","female","education","EGP6","income","pensions","unemployed","car_owner","cntry","y1"
4,2,2,1,1,1993,0,3,"1",3,0,0,0,"belarus",47
3,3,2,1,1,1993,0,3,"1",1,0,0,0,"belarus",437
3,3,2,1,2,1993,0,1,"6",3,0,0,0,"belarus",1158
3,3,1,1,2,1993,1,1,"6",1,0,0,0,"belarus",160
1,1,2,1,3,1993,1,2,"6",3,0,0,1,"belarus",402
1,1,1,1,2,1993,0,1,"4",3,0,0,0,"belarus",1065
4,2,1,1,1,1993,0,3,"4",3,0,0,0,"belarus",127
2,1,2,1,2,1993,1,2,"5",3,0,0,0,"belarus",567
3,3,2,1,1,1993,0,2,"4",1,0,0,1,"belarus",495
3,3,2,1,4,1993,0,3,"1",2,1,0,0,"belarus",1109
3,3,1,1,1,1993,1,1,"6",1,0,0,0,"belarus",222
3,3,4,2,2,1993,1,3,"4",3,0,0,0,"belarus",1013
1,1,1,1,3,1993,0,3,"1",1,0,0,1,"belarus",1028
1,1,1,1,2,1993,0,2,"6",2,0,0,0,"belarus",230
3,3,3,3,2,1993,1,3,"1",2,0,0,0,"belarus",1404
1,1,1,1,2,1993,0,3,"1",1,1,0,0,"belarus",1297
1,1,2,1,3,1993,1,3,"1",2,0,0,0,"belarus",196
3,3,2,1,2,1993,0,3,"5",1,0,0,1,"belarus",310
3,3,1,1,2,1993,1,2,"4",2,0,0,0,"belarus",816
3,3,2,1,2,1993,1,2,"6",1,0,0,0,"belarus",1445
3,3,3,3,3,1993,1,1,"5",3,0,0,1,"belarus",1146
3,3,3,3,3,1993,1,3,"1",3,0,0,0,"belarus",1024
3,3,2,1,2,1993,1,3,"1",2,0,0,0,"belarus",1438
2,1,1,1,2,1993,1,3,"1",2,0,0,0,"belarus",317
3,3,1,1,3,1993,0,1,"6",1,0,0,0,"belarus",169
3,3,2,1,3,1993,1,3,"4",2,0,0,1,"belarus",135
3,3,1,1,2,1993,0,3,"1",2,0,0,0,"belarus",460
1,1,1,1,1,1993,1,3,"2",3,0,0,0,"belarus",1058
4,2,4,2,2,1993,0,3,"1",3,0,0,1,"belarus",3
3,3,4,2,2,1993,0,3,"1",3,0,0,1,"belarus",485
2,1,2,1,2,1993,0,3,"5",1,0,0,0,"belarus",643
3,3,1,1,1,1993,1,2,"5",2,0,0,0,"belarus",1114
3,3,2,1,2,1993,0,2,"3",2,0,0,0,"belarus",1123
1,1,2,1,2,1993,1,3,"1",2,0,0,1,"belarus",843
1,1,1,1,2,1993,0,3,"1",1,0,0,0,"belarus",1030
3,3,1,1,4,1993,1,3,"1",2,1,0,0,"belarus",1285
3,3,2,1,2,1993,1,3,"1",2,0,0,0,"belarus",499
2,1,1,1,3,1993,0,1,"5",1,0,0,0,"belarus",554
3,3,1,1,4,1993,0,2,"5",1,1,0,0,"belarus",429
4,2,4,2,1,1993,0,1,"7",2,0,1,0,"belarus",448
2,1,1,1,2,1993,0,2,"5",3,0,0,0,"belarus",1056
4,2,3,3,4,1993,0,1,"5",1,1,0,0,"belarus",635
3,3,3,3,2,1993,0,3,"1",1,0,0,0,"belarus",502
3,3,1,1,1,1993,0,2,"6",1,0,0,0,"belarus",1262
1,1,1,1,2,1993,0,3,"5",2,0,0,0,"belarus",1413
3,3,1,1,4,1993,0,1,"5",1,0,0,0,"belarus",367
3,3,1,1,2,1993,0,3,"1",1,1,0,0,"belarus",1264
3,3,3,3,3,1993,1,3,"1",3,0,0,1,"belarus",984
1,1,1,1,3,1993,1,1,"6",1,0,0,0,"belarus",344
3,3,5,2,1,1993,0,2,"3",3,0,0,0,"belarus",1148
2,1,1,1,2,1993,0,3,"1",2,0,0,0,"belarus",986
3,3,1,1,3,1993,1,1,"1",1,1,0,0,"belarus",702
1,1,1,1,3,1993,0,1,"6",1,0,0,0,"belarus",709
1,1,1,1,2,1993,0,2,"6",1,0,1,0,"belarus",572
3,3,2,1,3,1993,0,3,"1",2,0,0,0,"belarus",311
4,2,2,1,3,1993,0,1,"5",3,0,0,0,"belarus",1136
3,3,2,1,2,1993,1,2,"2",1,0,0,0,"belarus",1228
4,2,2,1,2,1993,0,3,"1",1,0,0,1,"belarus",701
3,3,1,1,2,1993,1,3,"1",2,0,0,0,"belarus",720
1,1,2,1,2,1993,0,3,"5",2,0,0,0,"belarus",615
3,3,3,3,3,1993,1,2,"4",2,1,0,0,"belarus",980
3,3,3,3,2,1993,1,3,"1",3,0,0,1,"belarus",51
3,3,4,2,2,1993,0,3,"1",3,0,0,1,"belarus",1137
1,1,1,1,3,1993,1,1,"6",1,1,0,0,"belarus",1044
3,3,3,3,2,1993,0,3,"2",1,0,0,0,"belarus",329
2,1,2,1,3,1993,1,1,"4",2,0,0,1,"belarus",1405
3,3,2,1,2,1993,1,3,"1",3,0,0,1,"belarus",479
2,1,3,3,2,1993,0,3,"7",1,0,0,1,"belarus",484
3,3,4,2,1,1993,1,3,"4",2,0,0,0,"belarus",941
2,1,2,1,4,1993,1,2,"1",1,1,0,0,"belarus",589
4,2,5,2,2,1993,1,3,"1",3,0,0,0,"belarus",588
3,3,1,1,4,1993,1,3,"1",2,1,0,0,"belarus",734
3,3,1,1,1,1993,1,1,"5",2,0,0,0,"belarus",286
3,3,1,1,3,1993,0,1,"6",1,0,0,0,"belarus",1157
4,2,3,3,2,1993,0,2,"3",3,0,0,1,"belarus",548
3,3,1,1,3,1993,1,1,"5",2,0,0,1,"belarus",7
1,1,1,1,4,1993,1,3,"1",1,1,0,0,"belarus",412
1,1,1,1,2,1993,1,3,"1",1,0,0,0,"belarus",745
